location_id,entity_name,type,modern_address,coordinates,source_book,source_chapter,source_text
M1_2_Missing_107,吴兴郡,Admin_Region,浙江省湖州市,"[120.10, 30.86]",历代名画记,卷一,近代有侯莫陈厦、沙门道芬，精致稠沓，皆一时之秀也。吴兴郡南堂有两壁树石，余观之而叹曰：“此画位置若道芬，迹类宗偃，是何人哉？”吏对曰：“有徐表仁者，初为僧号宗偃，师道芬则入室。今寓于郡侧，年未衰而笔力奋疾。”召而来，征他笔皆不类，遂指其单复曲折之势，耳剽心晤，成若宿构。使其凝意，且启幽襟，迨乎构成，亦窃奇状。向之两壁，盖得意深奇之作。观其潜蓄岚濑，遮藏洞泉，蛟根束鳞，危干凌碧，重质委地，青飙满堂。吴兴茶山，水石奔异，境与性会。乃召于山中写明月峡，因叙其所见，庶为知言。知之者解颐，不知者拊掌。
M1_2_Missing_30,麒麟阁,Building/Studio,陕西省西安市,"[108.87, 34.30]",历代名画记,卷一,《广雅》认为：“画，就是对客观事物的描摹。”《尔雅》说：“画，描绘客观事物的形状。”《说文》以为：“画，本是划分田界的意思。从‘画（畫）’字的下半部分笔画看，好似模仿田间小路的形状，而上半部分则是指代绘画的工具。”《释名》则说：“画，就是涂抹之意。在物象之上涂以各种色彩。”因此在钟鼎上雕刻图案，可以让人们在生活中识别害人的妖魔鬼怪；而旗帜上所绘的标志如果清晰明了，就可以起到昭明法度、完备国家制度的作用。当在神圣的太庙进行庄严肃穆的祭祀典礼时，将绘有图案的礼器并排陈列于神位之前，通过各地绘画测定土地面积和划分疆域范围。再者，把那些忠诚孝义之士的肖像全部陈列于云台之上，并将那些功绩卓著大臣的画像置
M1_2_Missing_36,蜀郡学堂,Building/Studio,四川省成都市,"[104.06, 30.67]",历代名画记,卷一,曹植有言曰：“观画者，见三皇五帝，莫不仰戴；见三季异主，莫不悲惋；见篡臣贼嗣，莫不切齿；见高节妙士，莫不忘食；见忠臣死难，莫不抗节；见放臣逐子，莫不叹息；见淫夫妒妇，莫不侧目；见令妃顺后，莫不嘉贵。是知存乎鉴戒者，图画也。”昔夏之衰也，桀为暴乱，太史终抱画以奔商；殷之亡也，纣为淫虐，内史挚载图而归周。燕丹请献，秦皇不疑；萧何先收，沛公乃王。图画者，有国之鸿宝，理乱之纪纲。是以汉明宫殿，赞兹粉绘之功；蜀郡学堂，义存劝戒之道。马后女子，尚愿戴君于唐尧；石勒羯胡，犹观自古之忠孝。岂同博奕用心？自是名教乐事。
M1_2_Missing_38,明光殿,Building/Studio,陕西省西安市,"[108.95, 34.26]",历代名画记,卷一,三国时期的曹植这样评论：“观赏绘画的人，看见三皇五帝的画像时，无不敬仰爱戴；看见夏、商、周三代末世君主的画像时，无不悲伤惋惜；看见那些篡夺皇位的贼臣画像时，无不恨得咬牙切齿；看见高风亮节的仁人志士的画像时，无不倾慕得废寝忘食；看见为国捐躯的忠臣的画像时，无不心生守节之念；看见被放逐的忠臣孝子的画像时，无不为之感到叹息；看到道德败坏品行不端的男女画像时，无不鄙夷侧目；看见贤德徇良的后宫妃子画像时，无不高度嘉赏称赞。因此通过这些丑恶美善之事可以知道，能够保存下来并起到借鉴惩戒作用的，正是绘画。”昔日夏王朝衰败时，夏桀的所作所为过于暴戾，太史终古抱着国家重要的地图投奔商朝；殷商将亡国时，商纣王过于残
M1_2_Missing_57,东京观文殿,Building/Studio,河南省洛阳市,"[112.45, 34.62]",历代名画记,卷一,陈天嘉中，陈主肆意搜求，所得不少。及隋平陈，命元帅记室参军裴矩、高颎收之，得八百余卷。隋帝于东京观文殿后起二台：东曰妙楷台，藏自古法书；西曰宝迹台，收自古名画。炀帝东幸扬州，尽将随驾，中道船覆，大半沦弃。炀帝崩，并归宇文化及，化及至聊城，为窦建德所取。留东都者，为王世充所取。
M1_2_Missing_143,翰林院,Building/Studio,陕西省西安市,"[108.94, 34.27]",历代名画记,卷二,有赏玩收藏书画爱好的人，应当置备上百张宣纸，并用蜡在这些纸上进行处理，以备用它们来影印摹写书画。顾恺之的著作《摹拓妙法》对此有论述。古代精良的拓本，可以得到原画精髓的十分七八，而且还不失去它本来的神采和笔法。曾经也有皇家御府的拓本，被称为“官拓”。唐朝的内库、翰林院、集贤殿、秘书阁，这些机构都在不断地摹拓前代的名家大作。在天下太平的时候，这种摹写名家大作的风气十分流行，但当社会动乱后，这样摹写名家大作的事情也就逐渐被荒废了。所以如果得到了不同寻常的佳作，那摹写下来的拓本，也应当好好地珍藏和爱护。因为这一类的拓本，既可以为稀有的书画作品留下踪迹，同时又能够为后世的鉴赏家们留下验证的参照物。
M1_2_Missing_144,集贤殿,Building/Studio,陕西省西安市,"[108.94, 34.27]",历代名画记,卷二,有赏玩收藏书画爱好的人，应当置备上百张宣纸，并用蜡在这些纸上进行处理，以备用它们来影印摹写书画。顾恺之的著作《摹拓妙法》对此有论述。古代精良的拓本，可以得到原画精髓的十分七八，而且还不失去它本来的神采和笔法。曾经也有皇家御府的拓本，被称为“官拓”。唐朝的内库、翰林院、集贤殿、秘书阁，这些机构都在不断地摹拓前代的名家大作。在天下太平的时候，这种摹写名家大作的风气十分流行，但当社会动乱后，这样摹写名家大作的事情也就逐渐被荒废了。所以如果得到了不同寻常的佳作，那摹写下来的拓本，也应当好好地珍藏和爱护。因为这一类的拓本，既可以为稀有的书画作品留下踪迹，同时又能够为后世的鉴赏家们留下验证的参照物。
M1_2_Missing_145,秘书阁,Building/Studio,陕西省西安市,"[108.94, 34.27]",历代名画记,卷二,有赏玩收藏书画爱好的人，应当置备上百张宣纸，并用蜡在这些纸上进行处理，以备用它们来影印摹写书画。顾恺之的著作《摹拓妙法》对此有论述。古代精良的拓本，可以得到原画精髓的十分七八，而且还不失去它本来的神采和笔法。曾经也有皇家御府的拓本，被称为“官拓”。唐朝的内库、翰林院、集贤殿、秘书阁，这些机构都在不断地摹拓前代的名家大作。在天下太平的时候，这种摹写名家大作的风气十分流行，但当社会动乱后，这样摹写名家大作的事情也就逐渐被荒废了。所以如果得到了不同寻常的佳作，那摹写下来的拓本，也应当好好地珍藏和爱护。因为这一类的拓本，既可以为稀有的书画作品留下踪迹，同时又能够为后世的鉴赏家们留下验证的参照物。
M1_2_Missing_164,集贤殿书院,Building/Studio,陕西省西安市,"[108.94, 34.27]",历代名画记,卷二,有人通过进献书画获得官职和爵位，有人搜求寻访书画而获得赏赐。开元年间，有经商的胡人穆聿，具有鉴别图画真伪的能力，于是被安排到集贤殿当值，专门负责向朝廷告发谁家搜求和珍藏的书画珍品。至德年间，穆聿从无官之身一跃成为金吾长史，后又改名为“详”。当时还有一个叫潘淑善的，也因为进献书画而授官。还有辽东人王昌，括州人叶丰，长安人田颖，洛阳人杜福、刘翌，河内人齐光，他们都担任甄辨和贩卖图画书籍的工作。以上这些人虽然喜爱自己贩卖图书的职业，但实际上他们的行为就是借书画作品保护自身以得到好处。还有当时担任侍御史、集贤殿书院直学士的史维则，他充任博访图书的特使时，以封赏官爵作为奖励，从民间收集到了不少书画珍品。
M1_2_Missing_166,婺源县,Admin_Region,江西省上饶市婺源县,"[117.86, 29.25]",历代名画记,卷二,又有从来蓄聚之家，自号“图书之府”。开元中，邠王府司马窦瓒，颍川人也；右补阙席异，安定人也；监察御史潘履慎，荥阳人也；金部郎中蔡希寂，济阳人也；给事中窦绍、歙州婺源县令滕昇，吴郡人也；陆曜，东都人；福先寺僧朏，同官尉高至，渤海人也；国子主簿晁温，太原人也；鄠县尉崔曼倩，永王府长史陈闳，颍川人也；监察御史薛邕，太原人郭晖，并是别识收藏之人。近则张郎中从申、侍郎惟素（从申子也）、萧桂州祐、李方古、归侍郎登、道士卢元卿、韩侍郎愈、裴侍郎璘、段相邹平公、中书令晋公裴度、李太尉德裕。
