person_id,primary_role,name,courtesy_name,pseudonym,other_names,choronym,birth_death,period_ref,authority_ids,source_book,source_chapter,source_text
meso_xie_he,Painter,谢赫,,,,,{},南齐,{},《古画品录》,序,夫画品者，盖众画之优劣也。圖繪者，莫不明劝戒，著升沉，千載寂寥，披圖可鉴。虽画有六法，罕能尽該，而自古及今，各善一节。 六法者何？一气韻生动是也；二骨法用笔是也；三应物象形是也；四随类赋彩是也；五經營位置是也；六傳移模写是也。唯陆探微、衛协备该之矣。然迹有巧拙，艺無古今，謹依远近，随其品第，裁成序引。故此所述，不广其源，但傳出自神仙，莫之聞見也。
meso_lu_tanwei,Painter,陆探微,,,,吳,{},南朝宋,{},《古画品录》,第一品,"穷理尽性,事絕言象。包前孕后,古今独立。非复激揚所能称赞,但价重之極乎上,上品之外,無他寄言,故屈标第一等。"
meso_cao_buxing,Painter,曹不兴,,,曹弗兴,吴兴,{},三国吴,{},《古画品录》,第一品,"不兴之迹，殆莫复傳，唯秘閣之内,一龙而已。观其風骨,名豈虚成。"
meso_wei_xie,Painter,衛协,,,,,{},西晋,{},《古画品录》,第一品,"占画之略,至协始精。六法之中，迨为兼善。虽不說备形妙,頗得壯气。凌跨群雄,曠代絕笔。"
meso_zhang_mo,Painter,張墨,,,,,{},西晋,{},《古画品录》,第一品,"風范气候,極妙参神。但取精灵,遺其骨法。若拘以体物,則未見精粹;若取之外,万厌高腴,可谓微妙也。"
meso_xun_xu,Painter,荀勗,公會,,,潁川,{},西晋,{},《古画品录》,第一品,"風范气候,極妙参神。但取精灵,遺其骨法。若拘以体物,則未見精粹;若取之外,万厌高腴,可谓微妙也。"
meso_gu_junzhi,Painter,顧駿之,,,顾景秀,吴,{},南朝宋,{},《古画品录》,第二品,"神韻气力,不逮前賢;精微謹細,有过往哲。始变古則今,赋彩制形,皆創新意。若包牺始更封体,史籀初改画法。常結構層楼,以为画所,風雨炎暑之时,故不操笔;天和气爽之日,乃含毫。登楼去梯,妻子罕見。画蟬雀,駿之始也。宋大明中,天下莫敢竞矣。"
meso_lu_sui,Painter,陆绥,,,陆绥洪,吴,{},南朝宋,{},《古画品录》,第二品,"体韻遒举,風彩飄然。一点一拂,动笔皆奇。傳世盖少,所謂希见卷軸,故为宝也。"
meso_yuan_qian,Painter,袁蒨,,,袁情,,{},南朝宋,{},《古画品录》,第二品,"比方陆氏,最为高逸。象人之妙,亞美前賢。但志守师法,更無新意;然和璧微玷,豈貶十城之价也。"
meso_yao_tandu,Painter,姚昙度,,,,吴,{},南齐,{},《古画品录》,第三品,"画有逸方,巧变锋出。魑魁神鬼，皆能绝妙。固流眞为，雅郑兼善，莫不俊拔,出人意表。天挺生知,非学所及。虽机微长短,往往失之,而舆皂之中,莫与为匹。岂直栋梁萧艾,可搪揬与璠者哉!"
meso_gu_kaizhi,Painter,顾恺之,长康,虎头,,晋陵无锡,{},东晋,{},《古画品录》,第三品,"除体精微,笔无妄下,但迹不逮意,声过其实。"
meso_mao_huiyuan,Painter,毛惠远,,,,荥阳阳武,{},南齐,{},《古画品录》,第三品,"画体周瞻,无适弗该。出入穷奇,纵横逸笔。力遒韵雅,超迈绝伦。其挥霍必也极妙,至于定质,愧然未尽其善。神鬼及马,泥滞于射,颇有拙也。"
meso_xia_zhan,Painter,夏瞻,,,夏侯瞻,,{},西晋,{},《古画品录》,第三品,"虽气力不足,而精彩有余。擅名远代,事非虚美。"
meso_dai_kui,Painter,戴逵,安道,,,谯郡銍,{},东晋,{},《古画品录》,第三品,"情韵连绵,风趣巧拔,善图贤圣,百工所范。荀卫以后,實為領袖,及子顒,能繼其善。"
meso_jiang_sengbao,Painter,江僧宝,,,,,{},南朝宋,{},《古画品录》,第三品,"斟酌远陆,亲渐朱蓝。用笔骨梗,甚有师法。像人之外,非其所长也。"
meso_wu_jian,Painter,吴暕,,,,,{},南朝宋,{},《古画品录》,第三品,"体法雅媚,制置才巧,擅美当年,有声京洛。"
