icon_id,name,parent_id,visual_elements,source_book,source.chapter,originalsource_sentence,associated_works,associated_creators
icon_ecf367e5,"{""zh"": ""龙""}",icon_animal,"[""鳞"", ""角"", ""爪"", ""云""]",《历代名画记》,卷九 唐朝上,汉王弟韩王元嘉，亦善书画。天后授之太尉。善画龙、马、虎、豹。,二龙图; 五龙堂; 周盘龙; 四白龙不点眼睛; 昆明二龙图; 横泉斗龙图; 行三龙图; 青溪龙; 龙马,冯绍正; 袁倩; 陆探微; 陆杲; 顾恺之
icon_239027a6,"{""zh"": ""鞍马""}",icon_animal,"[""马"", ""鞍"", ""毛色"", ""蹄""]",《历代名画记》,卷一 叙画之兴废,呜呼！自古忠孝义烈，湮没不称者曷胜记哉？况书画耶！圣唐至今二百三十年，奇艺者骈罗，耳目相接，开元、天宝其人最多。何必“六法”俱全，“六法”解在下篇。但取一技可采。谓或人物，或屋宇，或山水，或鞍马，或鬼神，或花鸟，各有所长。,三牛图; 三马; 三马伯乐图; 三马图; 二牛; 刘亮騧(ɡuā)马图; 刘亮騧马图; 名马图; 品有马势（白画）; 小马放牧图; 曹霸画马歌; 洛中车马斗鸡图; 渥洼马图; 牛图; 玄宗试马图; 玄宗马射; 玄宗马射图; 羊鸦仁跃马图; 赭白马图; 车马; 车马图; 鞍马; 马势; 马图; 马有八骏图; 马穷殊相; 马第一; 骑马变势图; 龙马,刘瑱; 史瓒; 史粲; 史道硕; 尹长生; 康昕; 戴逵; 曹仲达; 王殿; 范怀珍; 袁倩; 谢稚; 陆探微; 陆杲; 陈闳; 韦鉴; 韩幹; 顾宝光
icon_996bb0f3,"{""zh"": ""人物""}",icon_root,"[""衣冠"", ""面貌"", ""神采""]",《历代名画记》,卷一 叙画之兴废,呜呼！自古忠孝义烈，湮没不称者曷胜记哉？况书画耶！圣唐至今二百三十年，奇艺者骈罗，耳目相接，开元、天宝其人最多。何必“六法”俱全，“六法”解在下篇。但取一技可采。谓或人物，或屋宇，或山水，或鞍马，或鬼神，或花鸟，各有所长。,“具俊”; “尹扈生”; “怀坚”; “怀粲”; 一行大师真; 丁贵人弹曲项琵琶图; 七贤; 七贤图; 三天女图; 三狮子图; 三礼图; 不甚精; 与将军作勍敌; 东王公; 严君平像; 中兴帝相列像; 中天竺国图; 临深履薄; 临镜自写真图; 九子魔图; 乳母将婴儿; 乳母将婴儿图; 二十八人; 五天人像; 五天人像九子魔; 人手杂; 仕女; 佐郎; 佳丽伎乐图; 佳丽寒食; 佳丽寒食图; 八骏图; 写貌; 刀戟戏图; 列女; 列女仁智图; 列女传图; 列女图; 列女母仪图; 列女画; 列女画像; 列女贞节; 列女贞节图; 列女贤明图; 列女辩通图; 刘牢之像; 刘长史; 刘长史图; 勋贤像; 北风图; 北齐后主幸晋阳图; 北齐贵戚游苑图; 十一头狮子; 十弟子图; 南朝贵戚图; 卞和抱璞; 卞和抱璞图; 卢思道斛律明月慕容绍宗等像; 古今艺术图; 古圣帝贤臣七十子; 古圣贤帝王图; 古贤; 古贤图; 叶公好龙图; 司马宣王像; 司马宣王并魏二太子像; 名家; 名臣像; 吴主格虎; 吴主格虎图; 吴季札像; 周明帝畋游图; 周礼图; 啸人; 啸赋图; 壮士; 壮士图; 夏、殷与大列女; 夏、殷与大列女图; 大列女; 大列女图; 大匠; 天女; 太史公汉书图; 夫子; 妇人; 妇女; 妓女图; 姚崇及安禄山图; 姜嫄等像; 嫔嫱; 子女; 子母犬; 孔子弟子像; 孔子弟子图; 孙武; 孙绰像; 孙绰高士像; 孝子; 孝子图; 孟母图; 季札; 宁王调马打球图; 安禄山真; 宋竟陵王像; 宋谢琨兄弟四人像; 宫苑人物; 宫苑人物（屏风）; 小儿戏鹅图; 小列女; 少年行乐图; 少监; 尚子平; 尚子平图; 屈原渔父图; 山玲珑有势; 山阴公主像; 嵇中散; 嵇兴; 嵇兴图; 嵇阮像; 工请写高祖真; 巧瞻; 康侯像; 康侯图; 康居人马; 开元十八学士图; 张兴像; 张平子西京赋图; 张果先生真; 张畅等像; 形貌; 很有气韵; 得一本以进; 御像; 息妫图; 悉达太子纳妃图; 惠持师像; 按羯鼓图; 捣衣图; 支道林像; 文成公主降番图; 斗鸡图; 斛律金像; 新唐书·儒学传; 昭陵列像; 昭陵列像图; 晋史; 晋宣王及魏名臣像; 晋宣王及魏名臣图; 晋帝相列像; 曹长孺像; 曹长孺真; 望贤宫图; 朝士图; 朝臣像; 朝臣十二人图; 朝臣图; 朱买臣图; 杂人马兵刀图; 杜征南人物图; 桂阳王美人图; 梁冀人马画; 梁宫人射雉图; 梁武帝像; 梵像; 武惠妃舞图; 殷洪像; 母仪图; 汉明帝画宫图; 汉武北伐图; 汉记图; 泰始勋臣像; 洪崖子橘术图; 清游池; 渔父图; 游春戏艺图; 游清池图; 燕人送荆轲图; 狮子击象图; 狮子图; 狸骨; 玄真子; 王世充像; 王抗棋图; 王攸之等像; 王晏萧寅像; 王柳等像; 王献之像; 王羲之像; 王羲之像孙绰像; 王翼之像; 王良; 王骏戈船图; 瑾公像; 益州学堂图; 直邵斋钦; 知新亭监时; 秋思; 秋思图; 秦府十八学士; 秦府学士图; 秦王游海图; 秦皇东游图; 稚子; 稚子图; 穰苴; 绘境; 美人图; 肉不; 胡人弄猿画; 自古帝王图; 自娱; 苏武像; 苏门先生图; 茀菻国人物图; 虢国夫人出游图; 蜀山; 表疏; 西京图; 诸学士; 豫章王像; 豫章王像泰始名臣; 豫章王宴宾图; 貌三人像; 貌极妙; 贤圣; 败春图; 迹与殷仲容相类; 邺中百戏狮猛图; 金人铭; 长安车马人物图; 阮修像; 阮咸像; 阮籍遇孙登; 阿育王像; 阿谷处女图; 陆真人图; 陈太丘、二方; 隋文帝上厩名马图; 雅趣; 颇得形似; 颍川先贤; 颍川先贤图; 骆简像; 高士; 高士图; 高祖及诸王图; 高祖真; 魏晋胜流画赞; 鲁庙孔子弟子图; 龙朔功臣图,任贞亮; 刘瑱; 刘系宗; 刘行臣; 刘褒; 卫协; 史敬文; 史艺; 史道硕; 司马迁; 周古言; 周昉; 夏侯朗; 夏侯瞻; 孙尚子; 宗测; 宗炳; 尹长生; 展子虔; 康昕; 张季和; 张志和; 张璪; 张諲; 戴蜀; 戴逵; 曹仲达; 曹元廓; 朱抱一; 李果奴; 杨子华; 杨脩; 檀智敏; 王奴; 王宰; 王殿; 王濛; 王绍宗; 王羲之; 王默; 田琦; 白旻; 聂松; 范怀珍; 萧悦; 董伯仁; 蔡斌; 薛稷; 袁倩; 解倩; 谈皎; 谢稚; 赵博文; 赵岐; 阎毗; 阎立德; 陆探微; 陆整; 陆杲; 陈义; 陈公恩; 陈恪; 陈闳; 韩幹; 韩滉; 顾况; 顾宝光; 顾恺之; 顾骏之; 高孝珩
icon_089ade9b,"{""zh"": ""山水""}",icon_root,"[""山"", ""水"", ""树"", ""石"", ""云""]",《历代名画记》,卷一 叙画之兴废,呜呼！自古忠孝义烈，湮没不称者曷胜记哉？况书画耶！圣唐至今二百三十年，奇艺者骈罗，耳目相接，开元、天宝其人最多。何必“六法”俱全，“六法”解在下篇。但取一技可采。谓或人物，或屋宇，或山水，或鞍马，或鬼神，或花鸟，各有所长。,东封图; 云汉图; 南郊; 夷图; 富有气象; 山水; 山水序; 山水录; 山水极有思; 山水构思极巧妙; 山水树石; 很有格律; 松树; 松石; 树石; 梁北郊图; 江图; 河图; 狩河阳图; 画云台山记; 画山水序; 藉田图; 蜀中山岳; 风云水月图,侯莫陈厦; 刘商; 刘整; 刘褒; 卢鸿; 吴道子; 周太素; 宗炳; 展子虔; 康昕; 张璪; 张諲; 戴逵; 朱审; 李思训; 李昭道; 杨庭光; 梁洽; 沈宁; 王宰; 王陁子; 王默; 章继伯; 萧祐; 萧贲; 裴谞; 诸葛亮; 谢稚; 陆庭曜; 陆杲; 陈恪; 韦鉴; 韦銮; 顾况; 顾恺之
icon_65899557,"{""zh"": ""花鸟""}",icon_root,"[""花"", ""鸟"", ""竹"", ""虫""]",《历代名画记》,卷一 叙画之兴废,呜呼！自古忠孝义烈，湮没不称者曷胜记哉？况书画耶！圣唐至今二百三十年，奇艺者骈罗，耳目相接，开元、天宝其人最多。何必“六法”俱全，“六法”解在下篇。但取一技可采。谓或人物，或屋宇，或山水，或鞍马，或鬼神，或花鸟，各有所长。,㶉鶒图; 三牛图; 三马; 三马伯乐图; 三马图; 二牛; 二龙图; 五兽图; 五龙堂; 八骏图; 凤台; 凤鸣; 凫雁水鸟图; 刘亮騧(ɡuā)马图; 刘亮騧马图; 名马图; 周盘龙; 品有马势（白画）; 四白龙不点眼睛; 外国兽图; 外有情; 孔雀鹦鹉图; 射雉图; 小马放牧图; 昆明二龙图; 曹霸画马歌; 木雁图; 杂兽图; 横泉斗龙图; 水族; 水鸟; 汉麟阁图; 洛中车马斗鸡图; 渥洼马图; 牛图; 牡丹; 玄宗试马图; 玄宗马射; 玄宗马射图; 羊鸦仁跃马图; 花鸟; 花鸟和鸡; 苍鹰; 虎射杂鸷鸟图; 虎豹图; 蜂蝶图; 蝉雀; 行三龙图; 赭白马图; 车马; 车马图; 青溪龙; 鞍马; 马势; 马图; 马有八骏图; 马穷殊相; 马第一; 骑马变势图; 鸾凤; 鹤知名; 龙马,于锡; 冯绍正; 刘整; 刘瑱; 史瓒; 史粲; 史道硕; 周太素; 周昉; 尹长生; 康昕; 戴逵; 曹仲达; 烈裔; 王殿; 王羲之; 耿昌言; 范怀珍; 董伯仁; 薛稷; 袁倩; 谢稚; 陆探微; 陆整; 陆杲; 陈公恩; 陈闳; 韦鉴; 韩嶷; 韩幹; 顾宝光; 顾恺之; 顾骏之; 高孝珩
icon_9410a04b,"{""zh"": ""鬼神""}",icon_religious,"[""异形"", ""神采"", ""威猛""]",《历代名画记》,卷一 叙画之兴废,呜呼！自古忠孝义烈，湮没不称者曷胜记哉？况书画耶！圣唐至今二百三十年，奇艺者骈罗，耳目相接，开元、天宝其人最多。何必“六法”俱全，“六法”解在下篇。但取一技可采。谓或人物，或屋宇，或山水，或鞍马，或鬼神，或花鸟，各有所长。,“韶隐”; 中朝名士图; 九州名山; 九州名山图; 伏羲; 体周赡; 倕山图; 刀戟; 刀戟图; 圣”; 天师; 富有气韵; 山海经图; 搜神记图; 朝阳谷神图; 楚人祠鬼神图; 清溪宫水怪图; 神农; 神鬼; 逸才; 郢匠图; 鬼神; 鬼神画,刘瑱; 刘系宗; 吴道子; 夏侯瞻; 孙尚子; 康昕; 戴逵; 杨子华; 王韶应; 陆庭曜; 陆整; 陆杲
icon_631a3329,"{""zh"": ""屋宇""}",icon_architecture,"[""建筑"", ""结构"", ""界画""]",《历代名画记》,卷一 叙画之兴废,呜呼！自古忠孝义烈，湮没不称者曷胜记哉？况书画耶！圣唐至今二百三十年，奇艺者骈罗，耳目相接，开元、天宝其人最多。何必“六法”俱全，“六法”解在下篇。但取一技可采。谓或人物，或屋宇，或山水，或鞍马，或鬼神，或花鸟，各有所长。,吴中行舟图; 宫禁寒食图; 寺壁; 寺院壁; 屋宇; 庄严寺三门; 总持寺三门; 杂宫苑; 杂画台阁样; 杨宫图状; 永嘉邑屋图; 洛阳图; 洛阳门翻车并水图; 玉华宫; 玉华宫图; 田舍; 田舍舞图; 盘车图; 草留在秘阁; 荡舟; 荡舟图; 轜车; 轻车迅迈图,刘瑱; 卢稜伽; 周古言; 孙尚子; 宗炳; 展子虔; 康昕; 朱抱一; 王濛; 董伯仁; 董崿; 谢稚; 阎立德; 陆杲; 顾恺之
icon_fd7a55e7,"{""zh"": ""佛像""}",icon_religious,"[""法相"", ""手印"", ""经文"", ""莲座""]",《历代名画记》,卷五 晋,明帝司马绍，字道幾，下品上。元帝长子。幼异，有对日之奇。及长，善书画，有识鉴，最善画佛像。《蔡谟集》云：“帝画佛于乐贤堂，经历寇乱而堂独存，显宗效著作为颂。”大宁中，年二十七。谥曰明帝，庙号肃祖。见《晋书》。,“殷”; 七佛; 七佛图; 不多; 东晋高僧; 二疏图; 五天罗汉图; 五星图; 他物; 佛像; 佛寺; 八国王分舍利; 净土变; 史会要卷一; 咏梅图; 在绢素者; 地狱; 地狱佛像; 地狱变; 地狱图; 天王; 天竺僧; 天竺胡僧图; 太宗自定辇上图; 宋纪; 定光佛像; 并除图; 序; 弋猎; 弋猎图; 弥勒变; 得十分精妙; 按牒; 按筝; 按筝图; 明真经变; 普贤菩萨; 朱买臣覆水图; 朱异象; 梵僧图; 永业寺佛影台; 汉代射蛟图; 法华变; 渡水僧; 渡水僧图; 王僧绰像; 画史会要; 立释迦像; 经变; 维摩诘; 维摩诘像; 维摩诘变; 维摩诘本行变; 胡僧图; 菩萨; 行道天王图; 迹似吴; 郯中溪谷村墟; 郯中溪谷村墟图; 醉僧图; 释教画源; 释迦会图; 释迦倚像; 释迦十弟子图; 金光明经变; 金刚变; 除灾患变; 风俗图,何长寿; 侯莫陈厦; 刘孝师; 刘瑱; 卢稜伽; 卫协; 史道硕; 吴道子; 周昉; 姚景仙; 孙尚子; 宗测; 尹琳; 展子虔; 康昕; 张墨; 张孝师; 戴逵; 李生; 李纶; 杨乞德; 杨庭光; 武静藏; 王微; 王由; 程雅; 董伯仁; 袁倩; 赵武端; 郑寓; 陆探微; 陆杲; 陈义; 陈静心; 韦鉴; 顾宝光; 顾恺之; 顾骏之
icon_ea92d0ef,"{""zh"": ""道教""}",icon_religious,"[""道袍"", ""符箓"", ""仙鹤""]",《历代名画记》,卷三 西京寺观等画壁,开元观。西廊院天尊殿前，龙虎君明真经变，及西壁并杨庭光画。门西窗上下，杨仙乔画。,列仙传·萧史; 列仙画; 品有游仙图苏武像; 摩衲仙人图; 游仙图; 游仙翡翠篇; 游仙翡翠篇图; 老子; 醉道士; 醉道士图,何长寿; 张孝师; 蔡斌; 谢稚; 陆探微; 陆杲; 顾恺之; 顾骏之
icon_511f63ec,"{""zh"": ""虎""}",icon_animal,"[""斑纹"", ""爪"", ""牙""]",《历代名画记》,卷三 西京寺观等画壁,开元观。西廊院天尊殿前，龙虎君明真经变，及西壁并杨庭光画。门西窗上下，杨仙乔画。,虎射杂鸷鸟图; 虎豹图,陈公恩; 顾恺之
